	y	age	default	balance	housing	loan	contact	day	duration	campaign	pdays	previous	poutcome	admin	blue_collar	entrepreneur	housemaid	management	retired	self_employed	services	student	technician	divorced	single	tertiary	primary	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
101	0	0.2857142857142857	0	0.06832455063885079	1	0	1	0.3333333333333333	0.3481575603557815	0.0	0.42068965517241375	0.24999999999999997	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
105	0	0.19047619047619047	0	0.07124810510358767	1	0	1	0.43333333333333335	0.1613722998729352	0.1	0.16551724137931034	0.08333333333333334	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
110	1	0.015873015873015872	0	0.14033061430737026	0	0	1	0.9666666666666667	0.16073697585768743	0.5000000000000001	0.19310344827586207	0.08333333333333334	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
113	0	0.20634920634920628	0	0.051324622825380785	0	0	1	0.9666666666666667	0.04510800508259213	0.1	0.2367816091954023	0.0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
124	0	0.4920634920634921	1	0.048545441420630914	1	0	1	0.3333333333333333	0.17534942820838628	0.1	0.30459770114942525	0.20833333333333334	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
128	0	0.19047619047619047	0	0.05875983541471162	0	0	0	0.13333333333333333	0.10864040660736976	0.0	0.32988505747126434	0.08333333333333334	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
136	0	0.14285714285714285	0	0.06597848841406194	1	1	1	0.2	0.031130876747141045	0.0	0.3954022988505747	0.041666666666666664	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
156	1	0.5555555555555556	0	0.07225871652349672	0	0	1	0.0	0.20266836086404066	0.20000000000000004	0.10229885057471264	0.041666666666666664	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
157	0	0.5555555555555556	0	0.06038403233956544	1	0	1	0.9333333333333333	0.05019059720457433	0.20000000000000004	0.20919540229885059	0.08333333333333334	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164	1	0.12698412698412698	0	0.05341803219519238	0	0	1	0.6333333333333333	0.426302414231258	0.1	0.16666666666666666	0.041666666666666664	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
177	0	0.26984126984126977	0	0.056882985634880534	1	0	1	0.13333333333333333	0.09021601016518425	0.1	0.39770114942528734	0.0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
179	0	0.26984126984126977	0	0.05053057099545225	1	0	1	0.5333333333333333	0.03811944091486658	0.1	0.135632183908046	0.0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
186	0	0.2222222222222222	0	0.08297841622753195	1	0	0	0.6	0.2363405336721728	0.20000000000000004	0.006896551724137931	0.125	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
188	0	0.25396825396825395	0	0.05136071609037754	1	0	1	0.23333333333333334	0.09339263024142314	0.1	0.39770114942528734	0.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
199	1	0.873015873015873	0	0.18663827329820257	0	0	0	0.4666666666666667	0.11435832274459976	0.0	0.20689655172413793	0.041666666666666664	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
200	0	0.2222222222222222	0	0.08633508987222985	1	0	1	0.1	0.1880559085133418	0.0	0.1	0.041666666666666664	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
202	1	0.23809523809523814	0	0.14646646935681804	1	0	1	0.6	0.4847522236340534	0.1	0.16091954022988506	0.08333333333333334	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
203	0	0.3015873015873016	0	0.09799321446618062	1	0	1	0.6	0.8462515883100382	0.30000000000000004	0.14367816091954025	0.0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
207	0	0.14285714285714285	0	0.10824370172525807	1	0	1	0.23333333333333334	0.0698856416772554	0.0	0.06896551724137931	0.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
208	0	0.2857142857142857	0	0.04345629105608893	1	0	1	0.03333333333333333	0.0349428208386277	0.0	0.31034482758620685	0.0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
217	0	0.15873015873015872	0	0.08572150436728507	1	0	1	0.4	0.15946632782719186	0.1	0.4022988505747126	0.041666666666666664	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
232	0	0.38095238095238093	0	0.05172164874034506	1	0	1	0.4	0.12071156289707752	0.20000000000000004	0.4022988505747126	0.37499999999999994	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
233	0	0.39682539682539675	0	0.05053057099545225	1	0	1	0.8333333333333334	0.4847522236340534	0.1	0.10344827586206898	0.16666666666666666	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
249	0	0.3650793650793651	0	0.05053057099545225	0	1	1	0.23333333333333334	0.0025412960609911056	0.1	0.19655172413793104	0.16666666666666666	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
253	0	0.6031746031746031	0	0.17328376524940448	1	0	1	0.06666666666666668	0.05019059720457433	0.20000000000000004	0.30344827586206896	0.041666666666666664	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
264	0	0.6031746031746031	0	0.08240092398758392	0	0	1	0.5666666666666667	0.3418043202033037	0.0	0.08850574712643677	0.041666666666666664	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
270	0	0.31746031746031744	0	0.05053057099545225	1	0	1	0.03333333333333333	0.18551461245235068	0.0	0.03103448275862069	0.08333333333333334	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
276	0	0.23809523809523814	0	0.45546091099400854	0	0	1	0.3666666666666667	0.44091486658195683	0.1	0.08965517241379312	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
289	1	0.2222222222222222	0	0.053021006280228114	0	1	1	0.1	0.07306226175349428	0.20000000000000004	0.0	0.20833333333333334	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
301	0	0.7142857142857142	0	0.1169421785894752	0	0	1	0.0	0.24015247776365947	0.1	0.2149425287356322	0.16666666666666666	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
310	0	0.46031746031746024	0	0.3589475203926948	1	1	1	0.16666666666666669	0.12325285895806863	0.6000000000000001	0.19080459770114944	0.0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
314	1	0.07936507936507936	0	0.07796145239298347	1	0	1	0.8666666666666667	0.13850063532401524	0.20000000000000004	0.10114942528735632	0.041666666666666664	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
318	1	0.23809523809523814	0	0.15776366130080127	0	0	1	0.1	0.2693773824650572	0.30000000000000004	0.18735632183908046	0.041666666666666664	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
323	1	0.2857142857142857	0	0.09380639572655744	0	0	1	0.1	0.10991105463786531	0.0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
325	0	0.20634920634920628	0	0.2923193532086913	0	0	1	0.26666666666666666	0.2668360864040661	0.0	0.5298850574712644	0.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
328	1	0.23809523809523814	0	0.08582978416227532	0	0	1	0.9333333333333333	0.8672172808132148	0.20000000000000004	0.23908045977011494	0.08333333333333334	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
337	0	0.20634920634920628	0	0.10142207464087202	1	0	1	0.13333333333333333	0.001905972045743329	0.0	0.2908045977011494	0.16666666666666666	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
338	0	0.6825396825396826	0	0.089655670251931	0	0	1	0.43333333333333335	0.12452350698856417	0.0	0.20919540229885059	0.0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
340	0	0.33333333333333326	0	0.08056016747274959	1	1	1	0.6666666666666666	0.10101651842439645	0.0	0.20114942528735633	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
345	0	0.25396825396825395	0	0.05843499602974085	1	1	1	0.3333333333333333	0.16836086404066072	0.1	0.39770114942528734	0.0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
347	1	0.5555555555555556	0	0.14390384754204866	0	0	1	0.1	0.20520965692503176	0.1	0.10689655172413792	0.041666666666666664	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
349	0	0.4285714285714286	0	0.1336533602829712	1	0	1	0.16666666666666669	0.20203303684879287	0.1	0.41724137931034483	0.0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
353	0	0.47619047619047616	0	0.05067494405543926	0	0	1	0.5333333333333333	0.13850063532401524	0.0	0.10919540229885058	0.041666666666666664	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
354	0	0.14285714285714285	0	0.06200822926441926	1	0	1	0.5666666666666667	0.9078780177890725	0.1	0.4080459770114942	0.125	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
367	0	0.19047619047619047	0	0.35501335450804883	1	0	1	0.5333333333333333	0.15247776365946633	0.0	0.17011494252873563	0.041666666666666664	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
374	0	0.3492063492063492	0	0.036237638056738616	1	0	1	0.3333333333333333	0.047649301143583234	0.0	0.35287356321839075	0.125	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
375	0	0.15873015873015872	0	0.05053057099545225	1	0	1	0.5666666666666667	0.08005082592121983	0.5000000000000001	0.4160919540229885	0.3333333333333333	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
377	1	0.26984126984126977	0	0.06471522413917563	1	0	1	0.43333333333333335	0.35705209656925035	0.20000000000000004	0.31494252873563217	0.125	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
380	0	0.3015873015873016	0	0.05053057099545225	1	0	1	0.9666666666666667	0.03049555273189327	0.0	0.37241379310344824	0.0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
383	0	0.26984126984126977	0	0.09846242691113838	1	0	0	0.4	0.07369758576874207	0.1	0.3908045977011494	0.125	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
394	0	0.20634920634920628	0	0.05208258139031257	1	0	1	0.43333333333333335	0.20775095298602286	0.1	0.4103448275862069	0.041666666666666664	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
397	0	0.26984126984126977	0	0.2707355807406338	0	0	1	0.1	0.0349428208386277	0.4	0.09885057471264369	0.0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
408	0	0.38095238095238093	0	0.06633942106402946	1	0	0	0.23333333333333334	0.020330368487928845	0.20000000000000004	0.34712643678160915	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
409	1	0.5396825396825397	0	0.05053057099545225	0	0	1	0.9	0.09911054637865312	0.0	0.11149425287356321	0.041666666666666664	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	1	0.873015873015873	0	0.18804591063307588	1	0	1	0.5	0.16327827191867852	0.0	0.20919540229885059	0.0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
421	0	0.26984126984126977	0	0.06864939002382156	1	0	1	0.2	0.3468869123252859	0.0	0.4022988505747126	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
423	0	0.26984126984126977	0	0.08214827113260667	1	0	1	0.4666666666666667	0.08576874205844981	0.30000000000000004	0.3747126436781609	0.041666666666666664	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
433	0	0.3650793650793651	0	0.05522269544502996	0	0	1	0.13333333333333333	0.09593392630241424	0.0	0.38620689655172413	0.08333333333333334	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
459	0	0.3650793650793651	0	0.05182992853533531	0	0	1	0.8333333333333334	0.07179161372299873	0.0	0.1160919540229885	0.041666666666666664	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
464	1	0.19047619047619047	0	0.08261748357756443	1	0	1	0.3	0.11435832274459976	0.0	0.11264367816091955	0.16666666666666666	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
465	0	0.6190476190476191	0	0.05053057099545225	0	0	0	0.06666666666666668	0.4555273189326557	0.0	0.11264367816091955	0.125	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
477	1	0.9047619047619047	0	0.3321302245001083	0	0	0	0.1	0.264294790343075	0.0	0.10459770114942529	0.041666666666666664	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
482	0	0.31746031746031744	0	0.07557929690319787	1	0	1	0.1	0.05844980940279543	0.30000000000000004	0.22413793103448276	0.16666666666666666	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
492	1	0.5238095238095237	0	0.11535407492961813	0	0	0	0.5	0.18424396442185514	0.0	0.10344827586206898	0.041666666666666664	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
496	0	0.47619047619047616	0	0.3146249909766838	1	0	1	0.4	0.10609911054637866	0.0	0.4241379310344827	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
500	0	0.19047619047619047	0	0.5055583628094997	0	0	1	0.43333333333333335	0.12579415501905972	0.4	0.09540229885057472	0.0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
510	0	0.2857142857142857	0	0.054897856060059196	1	1	1	0.16666666666666669	0.10355781448538755	0.0	0.2425287356321839	0.041666666666666664	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
512	1	0.5079365079365079	0	0.05756875766981882	1	0	1	0.5666666666666667	0.1365946632782719	0.0	0.07126436781609197	0.16666666666666666	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
515	0	0.39682539682539675	0	0.07785317259799322	0	0	1	0.6333333333333333	0.06226175349428209	0.0	0.37241379310344824	0.125	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
522	0	0.3650793650793651	0	0.07716740056305493	1	0	1	0.6666666666666666	0.36848792884371034	0.30000000000000004	0.21839080459770116	0.125	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
528	0	0.3650793650793651	0	0.14318198224211362	1	0	1	0.43333333333333335	0.06607369758576874	0.0	0.4126436781609195	0.041666666666666664	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
540	1	0.4285714285714286	0	0.1839312784234462	0	0	1	0.3666666666666667	0.1556543837357052	0.1	0.20689655172413793	0.125	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
552	0	0.6825396825396826	0	0.14967876994152893	0	0	1	0.3333333333333333	0.06861499364675985	0.0	0.09080459770114943	0.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
555	0	0.26984126984126977	0	0.09795712120118386	1	0	1	0.23333333333333334	0.43011435832274464	0.1	0.09655172413793103	0.24999999999999997	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
563	0	0.47619047619047616	0	0.14065545369234103	1	0	1	0.6666666666666666	0.01905972045743329	0.0	0.20114942528735633	0.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
565	0	0.31746031746031744	0	0.052551793835270345	1	1	1	0.9333333333333333	0.12007623888182974	0.0	0.2827586206896551	0.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
572	0	0.5238095238095237	0	0.09813758752616762	1	0	1	0.5	0.2681067344345617	0.0	0.17126436781609197	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
579	0	0.20634920634920628	0	0.07565148343319136	0	1	1	0.13333333333333333	0.11944091486658197	0.0	0.20114942528735633	0.29166666666666663	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
596	0	0.4285714285714286	0	0.057785317259799324	1	0	1	0.2	0.03367217280813215	0.1	0.4379310344827586	0.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
602	0	0.47619047619047616	0	0.5023821554897856	1	0	1	0.5333333333333333	0.08958068614993647	0.1	0.167816091954023	0.125	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
614	0	0.3015873015873016	0	0.09243485165668086	1	0	1	0.26666666666666666	0.14675984752223634	0.0	0.3850574712643678	0.0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
619	1	0.23809523809523814	0	0.3049880892225511	0	0	1	0.3333333333333333	0.13786531130876747	0.20000000000000004	0.20804597701149427	0.125	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
623	0	0.31746031746031744	0	0.10499530787555042	0	0	1	0.3666666666666667	0.20838627700127063	0.0	0.06551724137931034	0.08333333333333334	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
629	0	0.6190476190476191	0	0.1502923554464737	0	0	1	0.7666666666666667	0.1473951715374841	0.0	0.235632183908046	0.041666666666666664	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
631	0	0.20634920634920628	0	0.3401068360643904	0	0	1	0.9666666666666667	0.06480304955527319	0.0	0.11954022988505747	0.08333333333333334	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
647	0	0.4126984126984127	0	0.2767992492600881	1	0	0	0.5666666666666667	0.15501905972045743	0.20000000000000004	0.12758620689655173	0.041666666666666664	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
649	0	0.6349206349206349	0	0.05962607377463366	1	1	1	0.4	0.07496823379923762	0.1	0.167816091954023	0.08333333333333334	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
650	0	0.20634920634920628	0	0.9046055006135855	1	0	1	0.5	0.12325285895806863	0.1	0.16666666666666666	0.041666666666666664	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
651	0	0.1111111111111111	0	0.053454125460189135	0	0	1	0.13333333333333333	0.12198221092757307	0.0	0.22758620689655173	0.08333333333333334	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
657	0	0.6984126984126984	0	0.05208258139031257	0	0	1	0.3333333333333333	0.07115628970775095	0.0	0.10344827586206898	0.0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
658	0	0.4285714285714286	0	0.05258788710026709	0	0	1	0.13333333333333333	0.15756035578144853	0.0	0.39195402298850573	0.0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
665	0	0.5396825396825397	0	0.05053057099545225	0	0	0	0.5	0.6232528589580687	0.0	0.10689655172413792	0.29166666666666663	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
667	0	0.5555555555555556	0	0.072944488558435	0	1	1	0.03333333333333333	0.06925031766200762	0.0	0.23793103448275862	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
671	0	0.38095238095238093	0	0.06171948314444525	1	0	1	0.16666666666666669	0.1238881829733164	0.0	0.28965517241379307	0.0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
684	1	0.12698412698412698	0	0.056594239514906525	0	0	1	0.0	0.21728081321473952	0.20000000000000004	0.15977011494252874	0.041666666666666664	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
685	0	0.4126984126984127	0	0.10647513174041724	1	0	1	0.5	0.07687420584498095	0.1	0.17011494252873563	0.29166666666666663	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
699	0	0.23809523809523814	0	0.05053057099545225	0	0	1	0.13333333333333333	0.04383735705209657	0.0	0.19195402298850575	0.125	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
713	0	0.07936507936507936	0	0.11513751533963762	0	0	1	0.5333333333333333	0.139135959339263	0.0	0.36896551724137927	0.08333333333333334	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
718	0	0.31746031746031744	0	0.06850501696383456	1	0	1	0.23333333333333334	0.03176620076238882	0.1	0.34137931034482755	0.125	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
731	0	0.4444444444444444	0	0.089944416371905	0	1	1	0.5666666666666667	0.04701397712833545	0.0	0.19655172413793104	0.29166666666666663	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
738	0	0.25396825396825395	0	0.11748357756442648	1	0	1	0.1	0.044472681067344345	0.0	0.31264367816091954	0.0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
764	0	0.12698412698412698	0	0.05053057099545225	1	0	1	0.13333333333333333	0.2096569250317662	0.1	0.3218390804597701	0.29166666666666663	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
